word,similarity
(으)로_FNS/JKB,1.0
극__04/NNG,0.643695247051677
밀려나/VV,0.6436952470516769
원칙/NNG,0.6383981021126297
미학/NNG,0.6319921987901621
스키/NNG,0.631117635478778
즐기/VV,0.631117635478778
만능/NNG,0.631117635478778
스포츠맨/NNG,0.631117635478778
은데/EF,0.6304838474216778
싫/VA,0.6304838474216777
울리__01/VV,0.6244441189986069
절규/NNG,0.6244441189986069
외모__02/NNG,0.6236924800501732
백인__01/NNG,0.6225159220685381
틀림없/VA,0.622515922068538
주스/NNG,0.6176688662850836
포도__06/NNG,0.6176688662850836
종종__04/MAG,0.6104683884919432
투쟁/NNG,0.6104683884919432
폭동/NNG,0.6104683884919432
터지/VV,0.6104683884919432
목숨/NNG,0.6098137513590596
달리__01/VV,0.6098137513590596
모션/NNG,0.6087525762646743
슬로/NNG,0.6087525762646743
권리/NNG,0.6080389184004998
건네/VV,0.607900579045788
제정신/NNG,0.6060470051626581
슬퍼하/VV,0.6047997560606734
조금쯤/NNG,0.6047997560606733
롱스커트/NNG,0.6046775197176066
끄덕거리/VV,0.6035166752676491
사회사업/NNG,0.5989175876393719
안정환/NNP,0.5964818108809353
선발__03/NNG,0.5964818108809353
백세난작식자인/NNG,0.5943497016797794
무신/MM,0.5932188670476615
심__03/NNG,0.5932188670476615
ᆯ꼬/EF,0.5932188670476615
빌붙/VV,0.5902713044200125
애원조__02/NNG,0.5902713044200125
운__06/NNG,0.5891284149732001
밀감/NNG,0.5885235295763744
씹/VV,0.5885235295763744
조카/NNG,0.5883728753471056
공립__01/NNG,0.5863626414932421
현재/MAG,0.5863626414932421
한서중학교/NNP,0.5863626414932421
속살거리/VV,0.5860801947854503
4구체/NNG,0.5857959301605399
한문/NNG,0.5857959301605398
촌팔분/NNG,0.5851426698898408
넋두리/NNG,0.5841780412553528
과감히__01/MAG,0.583754922304772
바꾸__01/VV,0.583754922304772
경과__04/NNG,0.583589568522869
일곱/NR,0.5830320052945328
내리/MAG,0.5824369373414809
입석__02/NNG,0.5824369373414809
이지선/NNP,0.582039020952159
이구동성/NNG,0.5807313053199663
꺾어지/VV,0.5791462227319417
기역__01/NNG,0.5791462227319417
명란젓/NNG,0.5791382530839382
썰__01/VV,0.5791382530839381
유기농법/NNG,0.5787718342900132
적어도/MAG,0.5784585500593441
본론/NNG,0.5776565698461803
작전__01/NNG,0.5775520780780528
포/NNG,0.5775467075048811
되받/VV,0.577511590083258
잔돈__01/NNG,0.5772295302685324
죽사발/NNG,0.5753145215130668
학년/NNG,0.574831548831184
과목__02/NNG,0.574831548831184
제자리/NNG,0.5745842950081044
과자__02/NNG,0.5742386179196943
어린애/NNG,0.5742386179196943
서연이/NNP,0.5740804021072311
본능/NNG,0.5738569014449864
저버리/VV,0.573784801171797
기다리__01/VV,0.5736398254034287
는데/EF,0.5728373166816179
알뿌리/NNG,0.5723353048800769
품__01/NNG,0.5717457470837211
안기__01/VV,0.5717457470837211
스님/NNG,0.5714438520120589
빙긋/MAG,0.5714438520120589
노조원/NNG,0.5707436588858321
미증유/NNG,0.5699265681613334
다반사/NNG,0.5699265681613334
상승__01/NNG,0.5698657347714932
답답/XR,0.5697789800377329
더욱이/MAG,0.5697630131925896
도백/NNG,0.5693051730333608
생명체/NNG,0.5692798139206274
하나하나/NNG,0.5692798139206274
문화재/NNG,0.5692798139206274
뒤적이/VV,0.5692110202769968
다/EF,0.5690468395796157
길소개/NNP,0.5687456600629492
별님이/NNP,0.5687367070682615
현찰__01/NNG,0.5686815185780899
필사__01/NNG,0.5685421279831789
흘러가/VV,0.5679720059734851
멍멍/XR,0.5676935038315545
새댁/NNG,0.5675843680181587
복귀/NNG,0.5675515975520324
진정하/VA,0.5675515975520324
본문__01/NNG,0.5675515975520324
쇼__02/NNG,0.5672445816372716
죽음__01/NNG,0.5671091536607369
파라오/NNG,0.5669672812164277
어야지요/EF,0.5669656082286483
한상철/NNP,0.5669123075266507
불황__01/NNG,0.5666012902566
노동자/NNG,0.5666012902566
교과서/NNG,0.5662820371349848
공짜/NNG,0.56587282488336
허나/MAJ,0.5654613327625484
현대/NNG,0.5654078459292402
계장__03/NNG,0.5653624294228502
빈정대/VV,0.5652745623233775
농조__01/NNG,0.5652745623233774
타이밍/NNG,0.5651316286084891
아웃__02/NNG,0.5651316286084891
기대__03/NNG,0.5650743581352478
오랜만/NNG,0.565001246891106
1959/SN,0.5649574649946703
빙긋이/MAG,0.5643406096189151
동의__02/NNG,0.5643406096189151
나뉘/VV,0.5639699035718289
진정__05/NNG,0.5638574556819448
기쁘/VA,0.5638574556819448
으려고요/EF,0.5636287447861978
엉터리/NNG,0.5636287447861978
개연__08/NNG,0.5634140919922946
공범/NNG,0.563150571818434
에어아메리카/NNP,0.5630710619067145
조용/XR,0.5630709817288913
으라/EF,0.5629827857980801
영광__01/NNG,0.5629827857980801
재__01/NNG,0.5629351416990575
종류__02/NNG,0.5624445194126259
거두/VV,0.5623174309864384
치달리/VV,0.5621822547573835
감사__08/NNG,0.5620873368359547
약소국/NNG,0.5618264098226134
국력__02/NNG,0.5618264098226134
