word,similarity
(으)로_DIR/JKB,1.0
청계천/NNP,0.6750833941148233
동남아시아/NNP,0.6703300387570876
백화점/NNG,0.6584137928486007
아요/EC,0.6517751887240981
압구정동/NNP,0.6465261552513164
서대문/NNP,0.6440616061417863
강가__01/NNG,0.641973457237596
뛰어내리/VV,0.6405818098060478
모래밭/NNG,0.6405818098060478
오른편/NNG,0.6402057631635801
전화통/NNG,0.635096585841454
욕망/NNG,0.6312052719548854
비키/VV,0.6283684583565857
청와대/NNP,0.6271168350659493
당장/MAG,0.6271168350659493
목욕탕/NNG,0.625848523669182
동물원/NNG,0.6254952938735069
앗/EF,0.62540807656177
문안__01/NNG,0.6253709404682293
이성계/NNP,0.6253709404682293
화엄사/NNP,0.6230520411049218
덕적도/NNP,0.6230520411049218
사잇길/NNG,0.6223525934938675
갈밭/NNG,0.6223525934938674
창호/NNP,0.6217515557456972
솔밭/NNG,0.6212883614990592
세면실/NNG,0.6208459395344402
너라/EF,0.6187595624209654
알라바마/NNP,0.6180791854585075
미시시피/NNP,0.6180791854585075
길/VA,0.6159908568402324
패스/NNG,0.6159908568402324
밤바다/NNG,0.6154002646788826
피어오르/VV,0.6154002646788826
냉큼/MAG,0.6152649094884388
옥점이/NNP,0.6152649094884387
북/NNP,0.6144936488073616
객줏집/NNG,0.6133232569312607
석순이/NNP,0.6107416741092431
서점__03/NNG,0.6105596602772724
참/NNB,0.6104703515022206
경운기/NNG,0.6099928584926482
둑__01/NNG,0.6085870923519293
큰길/NNG,0.6085317449664944
농장__05/NNG,0.6076356703071274
샛개/NNP,0.6076356703071274
뒤꼍/NNG,0.6074348470619955
건너오/VV,0.6070691606936578
혹은/MAJ,0.6068085351523869
건너가/VV,0.6059139566829279
서포리/NNP,0.6055968699868182
물러나/VV,0.6050492442549996
거라/EF,0.6049570148847035
소/EF,0.6045931191293169
겉주머니/NNG,0.6035539475662997
불러내/VV,0.6028899428833969
부두__01/NNG,0.6013025239959504
고길남/NNP,0.6011398176460007
