word,similarity
(으)로_FNS/JKB,1.0
만능/NNG,0.827638428686649
외모__02/NNG,0.7854308003103287
현대/NNG,0.7793546484464527
비__01/NNG,0.7544065021586316
스포츠맨/NNG,0.7536047403198723
이어/MAG,0.7532557184265274
저술/NNG,0.7504311012712559
은데/EF,0.7345416272820193
조카/NNG,0.7249615998622972
안정환/NNP,0.7225985040856232
독방/NNG,0.7142453691624475
지리__03/NNG,0.709216532210877
자원__04/NNG,0.7071283992965558
바람둥이/NNG,0.7059655503125307
영감__01/NNG,0.7038373361060208
소형__03/NNG,0.7030080210568594
간경변증/NNG,0.6964718761597918
간통죄/NNG,0.6938149083164477
절규/NNG,0.6917334745314924
화가__03/NNG,0.6851674758117554
잔돈__01/NNG,0.6840970162827434
감독관/NNG,0.6822281420991188
이쯤/NNG,0.6766924496025984
슬프/VA,0.6749742194767062
스키/NNG,0.6714703077092248
불황__01/NNG,0.6677325336845273
탁구/NNG,0.6666308190304224
거두/VV,0.662919905522239
복수__04/NNG,0.6626811103158131
교회법/NNG,0.6535759306646326
태양신/NNG,0.6524830217083686
복귀/NNG,0.6522017352565099
즐기/VV,0.6511494053357091
부동자세/NNG,0.651033408451335
교과서/NNG,0.6502512843039487
뜬눈/NNG,0.6489002602709307
알뿌리/NNG,0.6488638927185201
여행__02/NNG,0.6469560538727923
마법/NNG,0.6466714218848831
완승__01/NNG,0.6458747505828768
택하/VV,0.6432857035041144
궁여지책/NNG,0.6424612379315229
극__04/NNG,0.6409520308660461
암갈색/NNG,0.6401950433851908
육손이파/NNP,0.640117969723203
편법__01/NNG,0.6384665395070339
석고__02/NNG,0.6376644666153922
계절__01/NNG,0.6374737318194729
중학교/NNG,0.6319855776165718
글자/NNG,0.6313797083750798
촌팔분/NNG,0.6298849201122427
빈정대/VV,0.629563145116508
한서중학교/NNP,0.6293111124780901
명란젓/NNG,0.628783755003489
끄덕이/VV,0.6281113410069947
끄덕거리/VV,0.6281113410069947
타살__01/NNG,0.6279209498180773
뛰__01/VV,0.6278563917058785
밀려나/VV,0.6277904170554232
과거__03/NNG,0.6248390554751797
이지선/NNP,0.6244325875780228
찍히__02/VV,0.6242177716566711
틀림없/VA,0.6240381467230797
두목__03/NNG,0.6238737249536789
계장__03/NNG,0.6229604632007301
실__07/NNG,0.622481941347331
개인__02/NNG,0.6222798880167452
모쪼록/MAG,0.6220029770518869
한자__02/NNG,0.6214332536203071
한문/NNG,0.6214332536203071
